ID,Treatment,Crab,Crab_test,Nutrients,Percent_tissue_loss_Jun22,Only_significant_loss_Jun22,Predation_or_disease_July25,Aug_28_estimate,Percent_tissue_loss_July2023,TL_July2023
1,Control,N,Y,N,0,0,1,0,0,0
2,Crab,Y,N,N,2,0,1,0,0,0
3,Nutrient,N,Y,Y,30,30,0,35,30,1
4,Both,Y,N,Y,0,0,1,0,0,0
5,Control,N,Y,N,0,0,1,0,0,0
6,Nutrient,N,Y,Y,0,0,1,0,0,0
7,Crab,Y,N,N,0,0,1,0,0,0
8,Both,Y,N,Y,0,0,1,0,0,0
9,Crab,Y,N,N,1,0,1,0,0,0
10,Both,Y,N,Y,5,0,1,0,5,1
11,Nutrient,N,Y,Y,0,0,0,8,0,0
12,Control,N,Y,N,2,0,1,1,0,0
13,Both,Y,N,Y,0,0,1,0,0,0
14,Nutrient,N,Y,Y,0,0,1,0,0,0
15,Control,N,Y,N,35,35,0,35,35,1
16,Crab,Y,N,N,0,0,1,0,0,0
17,Control,N,Y,N,0,0,1,0,0,0
18,Crab,Y,N,N,0,0,1,0,0,0
19,Both,Y,N,Y,1,0,1,0,0,0
20,Nutrient,N,Y,Y,0,0,1,0,0,0
21,Crab,Y,N,N,0,0,1,0,0,0
22,Control,N,Y,N,0,0,1,0,0,0
23,Both,Y,N,Y,0,0,1,0,0,0
24,Nutrient,N,Y,Y,0,0,1,0,0,0
25,Nutrient,N,Y,Y,70,70,0,100,100,1
26,Control,N,Y,N,0,0,1,0,0,0
27,Crab,Y,N,N,0,0,1,0,0,0
28,Both,Y,N,Y,0,0,1,0,0,0
29,Crab,Y,N,N,0,0,1,0,0,0
30,Both,Y,N,Y,0,0,1,0,0,0
31,Nutrient,N,Y,Y,0,0,1,0,0,0
32,Control,N,Y,N,0,0,1,0,0,0
33,Crab,Y,N,N,0,0,1,0,0,0
34,Nutrient,N,Y,Y,0,0,1,0,80,1
35,Control,N,Y,N,0,0,1,0,0,0
36,Both,Y,N,Y,0,0,1,0,5,1
37,Both,Y,N,Y,0,0,1,0,0,0
38,Control,N,Y,N,0,0,1,0,0,0
39,Nutrient,N,Y,Y,0,0,1,0,0,0
40,Crab,N,N,N,0,0,1,0,20,1
