order,code,size,alt_size,weight_g,data_sheet,notes
1,TRSE,10.6,,0.2384,1,
2,TRSE,13.4,,0.435,1,
3,TRSE,11.1,,0.2111,1,
4,TRTI,7.6,,0.0619,1,
5,TRGU,8.5,,0.1185,1,
6,TRSE,6,,0.0222,1,
7,TRSE,12,,0.4839,1,
8,TRAR,8.5,,0.086,1,
9,TRSE,6.9,,0.0543,1,
10,TRSE,5,,0.0097,1,
11,TRSE,7.2,,0.0437,1,
12,TRSE,5.4,,0.0112,1,
13,TRSE,11.8,,0.299,1,
14,TRSE,7,,0.0617,1,
15,TRSE,4,,0.0208,1,
16,TRSE,5.8,,0.0337,1,
17,TRSE,6.2,,0.0247,1,
18,TRTI,6.3,,0.0549,1,
19,TRSE,6.2,,0.0349,1,
20,TRSE,8.8,,0.0772,1,
21,TRSE,5.7,,0.0194,1,
22,TRSE,14.4,,0.5189,1,
23,TRSE,9.5,,0.2991,1,adjusted for mismatch
24,TRSE,12.2,,0.3784,1,adjusted for mismatch
25,TRSE,6.9,,0.0431,1,adjusted for mismatch
26,TRSE,5.5,,0.0165,1,adjusted for mismatch
27,TRSE,11.7,,0.3212,1,adjusted for mismatch
28,TRSE,8.2,,0.0837,1,adjusted for mismatch
29,TRSE,14.4,,0.5521,1,adjusted for mismatch
30,TRSE,10.3,,0.2496,1,adjusted for mismatch
31,TRSE,8.2,,0.1326,1,adjusted for mismatch
32,TRSE,9.5,,0.2091,1,adjusted for mismatch
33,TRSE,9.1,,0.1475,1,adjusted for mismatch
34,TRSE,10,,0.293,1,adjusted for mismatch
35,COMO,20.7,,0.1227,1,
36,COMO,18.6,,0.0926,1,
37,COMO,16,,0.0421,1,
38,COMO,11,,0.0239,1,
39,COMO,14.3,,0.0496,1,
40,COMO,8.9,,0.0055,1,
41,COMO,8,,0.0579,1,shell
42,COMO,9,,0.0845,1,shell
43,COMO,6.7,,0.0329,1,shell
44,COMO,6.9,,0.034,1,shell
45,COMO,7,,0.0375,1,shell
46,COMO,12,,0.029,1,
47,COMO,5.6,,0.0173,1,shell
48,COMO,22.1,,0.199,1,
49,COMO,7.8,,0.0591,1,shell
50,COMO,16.9,,0.0954,1,
51,COMO,20.9,,0.1599,1,
