search_term,Family,Status
Alpheidae,Alpheidae,accepted
Alpheus,Alpheidae,accepted
Alpheus clypeatus,Alpheidae,accepted
Alpheus diadema,Alpheidae,accepted
Alpheus dolerus,Alpheidae,accepted
Alpheus lottini,Alpheidae,accepted
Alpheus paracrinitus,Alpheidae,accepted
Amphipholis squamata,Amphiuridae,accepted
Anarithma metula,Mitromorphidae,accepted
Apataxia cerithiiformis,Rissoinidae,accepted
Arete indicus,Alpheidae,accepted
Aristeus,Aristeidae,accepted
Aspella hildrunae,Muricidae,accepted
Athanas djiboutensis,Alpheidae,accepted
Barbatia,Arcidae,accepted
Bittium,Cerithiidae,accepted
Bittium glareosum,Cerithiidae,accepted
Breviturma dentata,Ophiocomidae,accepted
Breviturma pica,Ophiocomidae,accepted
Buccinidae,Buccinidae,accepted
Bulla,Bullidae,accepted
Bulla orientalis,Bullidae,accepted
Calcinus latens,Calcinidae,accepted
Calcinus nitidus,Calcinidae,accepted
Calliotrochus marmoreus,Trochidae,accepted
Carinomitra typha,Mitridae,accepted
Cerithium columna,Cerithiidae,accepted
Cerithium egenum,Cerithiidae,accepted
Cerithium nesioticum,Cerithiidae,accepted
Cerithium punctatum,Cerithiidae,accepted
Cerithium salebrosum,Cerithiidae,accepted
Cerithium zebrum,Cerithiidae,accepted
Chlorodiella,Xanthidae,accepted
Coralliophila monodonta,Muricidae,unaccepted
Cryptochiridae,Cryptochiridae,accepted
Cystiscus garretti,Cystiscidae,accepted
Dascyllus aruanus,Pomacentridae,accepted
Dascyllus flavicaudus,Pomacentridae,accepted
Dascyllus trimaculatus,Pomacentridae,accepted
Diala albugo,Dialidae,accepted
Diala semistriata,Dialidae,accepted
Discias,Disciadidae,accepted
Distorsio,Personidae,accepted
Echinometra mathaei,Echinometridae,accepted
Eulimidae,Eulimidae,accepted
Euplica varians,Columbellidae,accepted
Eviota,Gobiidae,accepted
Fragum,Cardiidae,accepted
Galathea,Galatheidae,accepted
Galathea mauritiana,Galatheidae,accepted
