coral_id,Block,Treatment,Crab,Nutrients,Circumference_cm,Coral_vol,TRBI_abundance,Alpheidae,Cerithiidae,Dialidae,Galatheidae,Gobiidae,Hermit,Labridae,Muricidae,Palaemonidae,Peracarid,Pomacentridae,Trapeziidae,Triphoridae,Trochidae,Worm,Amphipod,Columbellidae,Personidae,Aristeidae,Asterinidae,Brittle,Echinometridae,Hippolytidae,Leucosiidae,Limpet,Mitridae,Rissoinidae,Xanthidae,Cystiscidae,Mangeliidae,Cypraeidae,Eulimidae,Haminoeidae,Costellariidae,Zebinidae,Bivalve,Disciadidae,Portunidae,Bullidae,Tetraliidae,Lironobidae,Mitromorphidae,Pilumnidae,Planaxidae,Stenopodidae,Raphitomidae,Spongicolidae,Cingulopsidae,Pyramidellidae,Rissoidae,Prodotiidae,Buccinidae,Cryptochiridae,Chilodontaidae,Epialtidae,Megalopidae,Cirrhitidae
1,1,Control,N,N,65,4192.978994991177,0,7,2,4,1,8,9,1,39,25,1,3,8,1,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,Crab,Y,N,66,3686.135380212024,0,13,1,5,1,4,9,0,2,5,0,4,3,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,Nutrient,N,Y,75,6681.120376634293,1,14,2,1,20,10,35,2,53,4,0,13,30,0,2,9,31,6,0,1,1,7,5,1,1,2,1,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,Both,Y,Y,69,4904.549731029264,2,6,0,0,1,9,24,0,9,65,0,20,14,0,0,2,7,2,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,Control,N,N,68,5309.29158456675,0,3,0,0,1,3,9,0,8,15,1,7,5,0,0,1,0,6,0,0,0,2,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2,Nutrient,N,Y,77,4948.008429403923,0,11,0,1,2,5,21,1,3,60,0,15,7,0,1,3,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2,Crab,Y,N,77,6681.120376634292,0,8,1,29,2,2,18,0,28,146,0,18,5,0,0,17,4,9,0,0,0,1,1,0,0,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,Both,Y,Y,57,3298.6722862692823,0,10,0,1,6,2,20,0,4,35,0,15,3,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,3,Crab,Y,N,47,2345.722514680379,0,6,1,2,2,5,14,0,2,29,1,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3,Both,Y,Y,64,3362.551336892275,2,12,1,0,0,7,14,1,4,51,0,18,19,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,3,Nutrient,N,Y,67,5670.574739729576,0,19,1,4,4,5,54,0,44,55,1,8,12,0,1,11,7,3,0,0,0,2,1,0,0,0,4,9,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,3,Control,N,N,73,6135.5304524608655,0,7,0,5,0,1,10,0,12,5,0,2,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,4,Both,Y,Y,79,6199.409503083858,3,6,0,1,4,5,16,1,5,49,0,11,10,0,0,4,2,5,0,0,0,0,1,0,0,1,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,4,Nutrient,N,Y,62,4347.440633792676,0,6,0,0,1,3,24,0,23,66,2,15,7,0,0,1,1,3,0,0,0,3,0,0,0,0,2,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,4,Control,N,N,55,3133.21507318022,0,10,0,8,7,7,18,1,8,5,1,2,14,1,2,6,1,8,0,0,0,3,2,0,0,0,2,2,3,0,0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,4,Crab,Y,N,74,8063.421144213802,0,15,0,0,8,7,28,0,28,57,1,13,4,0,0,2,7,3,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,5,Control,N,N,69,7225.663103256523,0,7,2,7,1,6,8,0,67,60,0,16,17,1,0,8,13,4,0,0,0,3,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,5,Crab,Y,N,46,1507.9644737231006,0,7,2,2,0,1,5,0,1,12,0,3,3,2,3,1,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,5,Both,Y,Y,70,5969.026041820606,0,11,0,5,7,8,41,0,28,27,0,8,11,0,0,4,1,1,0,0,0,2,0,0,0,0,1,21,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
20,5,Nutrient,N,Y,48,2419.026343264141,0,2,0,6,6,3,18,0,7,4,0,8,3,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,6,Crab,Y,N,62,3769.9111843077517,0,5,0,9,0,7,14,0,20,48,0,0,4,0,1,8,1,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
22,6,Control,N,N,68,3481.931857728687,0,9,4,34,5,1,26,0,8,34,2,1,17,1,6,7,6,4,0,0,0,3,0,0,0,0,0,40,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0
23,6,Both,Y,Y,71,6135.5304524608655,1,28,0,0,4,5,22,0,12,95,0,14,13,0,0,1,4,5,0,0,0,4,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
24,6,Nutrient,N,Y,59,2450.4422698000385,0,23,2,4,17,3,21,0,58,15,0,9,5,0,3,2,3,2,0,0,0,2,1,0,0,1,1,4,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,7,Nutrient,N,Y,50,2111.150263212341,0,7,1,6,17,0,13,0,3,8,0,0,0,0,1,3,13,6,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,7,Control,N,N,52,2010.6192982974676,0,6,0,8,2,6,10,0,4,17,0,2,5,0,0,2,1,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,7,Crab,Y,N,75,3750.5380296106146,2,21,0,1,7,8,61,1,29,43,1,11,17,1,0,5,2,6,0,0,0,4,0,0,0,1,0,12,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
28,7,Both,Y,Y,67,4319.689898685965,2,11,1,0,17,5,16,0,16,21,0,13,6,0,0,0,3,6,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,8,Crab,Y,N,63,4397.182517474514,0,7,0,10,6,5,14,0,12,40,0,7,5,1,0,4,2,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
30,8,Both,Y,Y,62,2827.4333882308138,0,16,7,4,5,6,30,1,9,6,1,6,5,0,0,3,0,7,0,0,0,1,0,0,0,1,1,9,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
